iter	Logloss
0	0.6918522603
1	0.6898567612
2	0.6885455879
3	0.6868034569
4	0.6852410291
5	0.6833191949
6	0.6813656575
7	0.680472709
8	0.6787611987
9	0.6775580226
10	0.6762120015
11	0.6745576085
12	0.6730812176
13	0.6713824917
14	0.6698791401
15	0.6686399821
16	0.6675125328
17	0.6660146971
18	0.6645612974
19	0.6629356178
20	0.6616729015
21	0.6603900806
22	0.6587935267
23	0.6576227755
24	0.6565982716
25	0.6551381188
26	0.6541969712
27	0.6532760826
28	0.6521100225
29	0.6511606783
30	0.6496914013
31	0.6485828709
32	0.6482182065
33	0.6466718107
34	0.6457231882
35	0.6450479868
36	0.6443061313
37	0.6430478998
38	0.6416202236
39	0.6407991358
40	0.6396529223
41	0.6388563208
42	0.6378997597
43	0.6366841084
44	0.6361875792
45	0.6348635699
46	0.6334886293
47	0.63167804
48	0.6308234447
49	0.6297845583
50	0.629114615
51	0.628227337
52	0.6276973003
53	0.626375353
54	0.6255987013
55	0.6244135161
56	0.6227573704
57	0.6221241307
58	0.6212914957
59	0.6197091695
60	0.6183828921
61	0.6175490714
62	0.6169436687
63	0.6157976099
64	0.6147716625
65	0.6136832366
66	0.6119085776
67	0.6110268155
68	0.6100966479
69	0.6091768419
70	0.6082544069
71	0.6078424196
72	0.6063752046
73	0.6047875688
74	0.6043106801
75	0.6034428365
76	0.6025561771
77	0.6018562317
78	0.6006706856
79	0.5994921504
80	0.5985973461
81	0.5981249423
82	0.5971665254
83	0.5964355469
84	0.5956358007
85	0.59456351
86	0.5941297686
87	0.593455392
88	0.5925883731
89	0.5919720933
90	0.5909060401
91	0.5894897049
92	0.5886449041
93	0.5876801981
94	0.5867751869
95	0.5856856269
96	0.5846511738
97	0.5841234568
98	0.5836229067
99	0.5829014134
100	0.5819328927
101	0.5805958928
102	0.5799029582
103	0.5790187733
104	0.578484097
105	0.5769737862
106	0.5763048739
107	0.5753368687
108	0.5742911777
109	0.5735267433
110	0.5725848224
111	0.571450517
112	0.5699648986
113	0.5689566844
114	0.5678998071
115	0.5672583709
116	0.5667109618
117	0.5661094769
118	0.5648543899
119	0.5641464543
120	0.5632896423
121	0.5628477561
122	0.562233332
123	0.5615547283
124	0.5605142954
125	0.559709549
126	0.5593261203
127	0.558576223
128	0.5575951241
129	0.5564388069
130	0.5552867683
131	0.554045703
132	0.5527985032
133	0.5522037197
134	0.5515814601
135	0.5503878722
136	0.549827885
137	0.5492937243
138	0.5487937927
139	0.5482094223
140	0.5478412525
141	0.5474076142
142	0.5467454549
143	0.5456035717
144	0.545183955
145	0.5444588532
146	0.5439921199
147	0.5435038902
148	0.5425102646
149	0.5411670788
150	0.5406843649
151	0.5395010871
152	0.5387152079
153	0.538115321
154	0.5371578835
155	0.5359030028
156	0.5349296364
157	0.5343961973
158	0.5330698683
159	0.5321596506
160	0.5310805037
161	0.5307439856
162	0.5298929988
163	0.5294270902
164	0.5289721618
165	0.528507542
166	0.5278415164
167	0.5272065755
168	0.5266371031
169	0.5258850407
170	0.5251264314
171	0.524690061
172	0.5236914351
173	0.5231717084
174	0.522763742
175	0.5221036447
176	0.52128266
177	0.5206270991
178	0.5198648814
179	0.5190239468
180	0.518553605
181	0.5170183955
182	0.5167670379
183	0.515746761
184	0.5152414167
185	0.5146194664
186	0.5134365494
187	0.5123318853
188	0.5113894488
189	0.5102957648
190	0.5094858634
191	0.5087850416
192	0.5084779585
193	0.5077714662
194	0.5074995917
195	0.5068480002
196	0.5060650078
197	0.5050999409
198	0.5045454695
199	0.503940273
200	0.5034147727
201	0.5024945027
202	0.501474432
203	0.5006356626
204	0.4996949789
205	0.4993318094
206	0.4983745781
207	0.4976793238
208	0.4971676904
209	0.4968172022
210	0.4963124249
211	0.4956446467
212	0.4947295833
213	0.4942939346
214	0.4938931852
215	0.49345965
216	0.4928573402
217	0.4924056594
218	0.4916658144
219	0.4909787049
220	0.4905588305
221	0.4899347666
222	0.4891497638
223	0.4882504231
224	0.4877153861
225	0.4874449549
226	0.4869522404
227	0.4864763827
228	0.4856985969
229	0.4854167217
230	0.48510237
231	0.484649452
232	0.4837914029
233	0.4830598573
234	0.4822204177
235	0.4820674175
236	0.4815958384
237	0.4810375523
238	0.4805852529
239	0.4801187258
240	0.4794403282
241	0.4784135045
242	0.4777196936
243	0.4775242677
244	0.4771067645
245	0.4763454747
246	0.4759680258
247	0.4749585229
248	0.4743798746
249	0.4738604571
250	0.4732813964
251	0.473061742
252	0.4724935583
253	0.4718221716
254	0.4714168342
255	0.4709192224
256	0.4703547503
257	0.4696956325
258	0.4692191047
259	0.4683854902
260	0.4677510648
261	0.4674581579
262	0.4670065287
263	0.4663835989
264	0.466078217
265	0.465589214
266	0.4652350142
267	0.4644082559
268	0.4638320304
269	0.4632446701
270	0.4628038664
271	0.4618838542
272	0.4613762417
273	0.4611263791
274	0.4605398436
275	0.460125485
276	0.4594343031
277	0.4589931385
278	0.458501558
279	0.4578263051
280	0.4574288033
281	0.4570176408
282	0.4567472613
283	0.4563091381
284	0.4559948895
285	0.4555500134
286	0.4552738087
287	0.4548762038
288	0.4540238252
289	0.4532062427
290	0.4528172467
291	0.4519360001
292	0.4516765491
293	0.4510441857
294	0.4503543957
295	0.4498131726
296	0.4496024879
297	0.4491284345
298	0.448698714
299	0.4482176497
300	0.4478704092
301	0.4473390321
302	0.4466863065
303	0.4459347596
304	0.4454827695
305	0.4450033033
306	0.4446520419
307	0.4439950891
308	0.443637951
309	0.4434370608
310	0.4432801943
311	0.4425024084
312	0.442265227
313	0.4418325682
314	0.4413373792
315	0.440990448
316	0.4408028061
317	0.4405145387
318	0.4399888838
319	0.4396903579
320	0.4393557987
321	0.4388635481
322	0.4385580114
323	0.4381908211
324	0.437346742
325	0.4370114095
326	0.4363476006
327	0.4360140723
328	0.4356324479
329	0.434961886
330	0.4344628308
331	0.434223175
332	0.4338092288
333	0.4334334812
334	0.4327276591
335	0.4322458731
336	0.4316017563
337	0.4307437845
338	0.4302743963
339	0.4298847559
340	0.4293888968
341	0.4292303292
342	0.4290919948
343	0.4288648915
344	0.4283179464
345	0.4280583665
