iter	Passed	Remaining
0	5	5473
1	10	5269
2	14	4892
3	18	4666
4	22	4559
5	26	4466
6	30	4384
7	34	4286
8	38	4238
9	43	4283
10	47	4261
11	51	4251
12	55	4231
13	60	4267
14	64	4235
15	68	4187
16	71	4153
17	76	4188
18	80	4157
19	84	4132
20	87	4099
21	91	4088
22	95	4076
23	99	4046
24	103	4026
25	107	4016
26	110	3991
27	114	3969
28	117	3947
29	121	3931
30	125	3927
31	129	3906
32	132	3882
33	135	3860
34	140	3862
35	143	3853
36	148	3854
37	152	3851
38	156	3858
39	160	3847
40	164	3839
41	167	3830
42	171	3821
43	175	3809
44	178	3797
45	182	3783
46	186	3773
47	190	3772
48	194	3770
49	197	3758
50	201	3747
51	206	3758
52	211	3780
53	215	3771
54	219	3766
55	223	3762
56	226	3752
57	230	3743
58	234	3738
59	238	3734
60	242	3726
61	245	3716
62	249	3710
63	253	3708
64	257	3702
65	260	3693
66	264	3685
67	268	3678
68	272	3671
69	275	3664
70	279	3655
71	282	3647
72	286	3643
73	290	3637
74	294	3631
75	298	3624
76	302	3621
77	305	3615
78	309	3606
79	312	3599
80	317	3599
81	321	3598
82	325	3601
83	329	3596
84	333	3593
85	337	3589
86	341	3585
87	345	3580
88	349	3579
89	353	3578
90	357	3571
91	361	3566
92	366	3574
93	370	3568
94	374	3563
95	377	3558
96	382	3557
97	386	3554
98	389	3548
99	393	3543
100	398	3543
101	402	3541
102	405	3535
103	409	3529
104	413	3527
105	418	3526
106	421	3519
107	425	3514
108	429	3510
109	433	3505
110	437	3500
111	440	3496
112	444	3490
113	448	3488
114	452	3482
115	457	3483
116	460	3478
117	464	3474
118	468	3469
119	472	3465
120	476	3460
121	480	3458
122	484	3452
123	487	3446
124	491	3441
125	496	3441
126	499	3436
127	503	3430
128	507	3425
129	511	3424
130	515	3419
131	519	3415
132	523	3410
133	527	3408
134	531	3404
135	535	3399
136	538	3394
137	542	3390
138	546	3387
139	550	3382
140	554	3378
141	558	3374
142	562	3370
143	566	3365
144	569	3360
145	573	3356
146	577	3353
147	581	3348
148	585	3343
149	589	3338
150	593	3336
151	597	3333
152	601	3328
153	605	3324
154	610	3325
155	614	3322
156	617	3317
157	621	3312
158	625	3310
159	629	3306
160	633	3301
161	637	3297
162	641	3294
163	645	3291
164	649	3287
165	653	3284
166	657	3282
167	661	3278
168	665	3273
169	669	3269
170	674	3268
171	678	3263
172	681	3259
173	685	3254
174	689	3252
175	693	3248
176	697	3243
177	701	3239
178	705	3237
179	709	3234
180	713	3229
181	717	3225
182	722	3223
183	726	3220
184	730	3216
185	733	3212
186	738	3209
187	742	3206
188	746	3202
189	750	3197
190	754	3195
191	758	3192
192	762	3190
193	766	3185
194	771	3183
195	774	3178
196	778	3174
197	782	3170
198	787	3168
199	791	3164
200	795	3160
201	798	3156
202	803	3153
203	807	3149
204	810	3144
205	814	3139
206	818	3136
207	823	3135
208	827	3130
209	831	3126
210	835	3123
211	839	3121
212	843	3118
213	848	3114
214	852	3111
215	856	3108
216	860	3104
217	864	3099
218	868	3096
219	872	3093
220	876	3088
221	880	3084
222	884	3081
223	888	3077
224	891	3072
225	895	3068
226	899	3063
227	903	3060
228	907	3056
229	911	3051
230	915	3047
231	919	3044
232	923	3040
233	927	3037
234	931	3033
235	936	3031
236	940	3028
237	944	3024
238	949	3022
239	953	3019
240	957	3015
241	961	3010
242	965	3008
243	969	3004
244	973	2999
245	977	2995
246	981	2991
247	985	2987
248	989	2982
249	992	2978
250	996	2974
251	1001	2971
252	1004	2967
253	1008	2962
254	1012	2959
255	1016	2955
256	1020	2951
257	1024	2946
258	1028	2943
259	1033	2941
260	1037	2937
261	1041	2934
262	1045	2930
263	1050	2927
264	1054	2923
265	1058	2919
266	1062	2915
267	1066	2911
268	1070	2907
269	1073	2903
270	1077	2899
271	1081	2895
272	1085	2891
273	1089	2887
274	1093	2883
275	1097	2879
276	1101	2875
277	1105	2870
278	1109	2867
279	1113	2864
280	1117	2860
281	1121	2855
282	1125	2851
283	1129	2847
284	1133	2843
285	1137	2838
286	1140	2834
287	1145	2831
288	1149	2827
289	1153	2822
290	1157	2819
291	1161	2816
292	1165	2812
293	1169	2808
294	1173	2803
295	1177	2800
296	1181	2796
297	1185	2793
298	1189	2789
299	1194	2786
300	1198	2782
301	1202	2778
302	1205	2774
303	1210	2771
304	1214	2768
305	1218	2764
306	1222	2760
307	1227	2756
308	1231	2752
309	1234	2748
310	1239	2745
311	1243	2742
312	1247	2738
313	1251	2734
314	1255	2731
315	1260	2727
316	1264	2723
317	1268	2719
318	1272	2715
319	1276	2712
320	1280	2708
321	1284	2703
322	1288	2700
323	1292	2696
324	1296	2693
325	1300	2689
326	1304	2685
327	1308	2681
328	1312	2676
329	1316	2672
330	1320	2669
331	1325	2666
332	1329	2662
333	1333	2658
334	1337	2654
335	1341	2650
336	1345	2646
337	1348	2641
338	1352	2638
339	1356	2633
340	1360	2629
341	1364	2625
342	1368	2621
343	1373	2618
344	1377	2614
345	1381	2610
346	1384	2606
347	1389	2602
348	1393	2598
349	1396	2594
350	1401	2590
351	1405	2587
352	1409	2583
353	1413	2579
354	1417	2576
355	1421	2572
356	1425	2568
357	1431	2566
358	1435	2562
359	1439	2558
360	1443	2554
361	1447	2550
362	1452	2548
363	1456	2544
364	1460	2540
365	1464	2536
366	1468	2532
367	1472	2528
368	1476	2524
369	1479	2519
370	1484	2516
371	1488	2512
372	1491	2507
373	1495	2503
374	1500	2500
375	1504	2496
376	1508	2492
377	1512	2488
378	1516	2484
379	1520	2480
380	1524	2476
381	1528	2472
382	1532	2469
383	1536	2465
384	1540	2460
385	1544	2456
386	1548	2452
387	1552	2448
388	1556	2444
389	1559	2439
390	1563	2435
391	1568	2432
392	1571	2427
393	1575	2423
394	1579	2419
395	1583	2415
396	1587	2411
397	1591	2407
398	1595	2403
399	1599	2399
